,Code,Country,Total Cases,Total Deaths
186,LCA,Saint Lucia,54.0,0.0
187,MAF,Saint Martin,0,0
188,SPM,Saint Pierre and Miquelon,0,0
189,VCT,Saint Vincent and the Grenadines,73.0,0.0
190,WSM,Samoa,0,0
191,SMR,San Marino,819.0,42.0
192,STP,Sao Tome and Principe,940.0,15.0
193,SAU,Saudi Arabia,344875.0,5296.0
194,SEN,Senegal,15551.0,321.0
195,SRB,Serbia,39486.0,792.0
196,SYC,Seychelles,153.0,0.0
197,SLE,Sierra Leone,2346.0,74.0
198,SGP,Singapore,57970.0,28.0
199,SVK,Slovakia,43843.0,159.0
200,SVN,Slovenia,22950.0,183.0
201,SLB,Solomon Islands,4.0,0.0
202,SOM,Somalia,3941.0,104.0
203,ZAF,South Africa,715868.0,18968.0
204,SGS,South Georgia and the South Sandwich Islands,0,0
205,ESP,Spain,1046132.0,34752.0
206,LKA,Sri Lanka,7872.0,15.0
207,SDN,Sudan,13742.0,837.0
208,SUR,Suriname,5170.0,109.0
209,SJM,Svalbard and Jan Mayen,0,0
210,SWZ,Swaziland,5854.0,116.0
211,SWE,Sweden,110594.0,5933.0
212,CHE,Switzerland,103323.0,1876.0
213,SYR,Syrian Arab Republic,5408.0,269.0
214,TWN,Taiwan,550.0,7.0
215,TJK,Tajikistan,10776.0,81.0
216,TZA,"Tanzania, United Republic of",509.0,21.0
217,THA,Thailand,3743.0,59.0
218,TLS,Timor-Leste,29.0,0.0
219,TGO,Togo,2200.0,52.0
220,TKL,Tokelau,0,0
221,TON,Tonga,0,0
222,TTO,Trinidad and Tobago,5511.0,105.0
223,TUN,Tunisia,48799.0,819.0
224,TUR,Turkey,361801.0,9799.0
225,TKM,Turkmenistan,0,0
226,TCA,Turks and Caicos,701.0,6.0
227,TUV,Tuvalu,0,0
228,UGA,Uganda,11443.0,101.0
229,UKR,Ukraine,343489.0,6391.0
230,ARE,United Arab Emirates,125123.0,477.0
231,GBR,United Kingdom,873800.0,44896.0
232,USA,United States Of America,8636165.0,225230.0
233,UMI,United States Minor Outlying Islands,0,0
234,URY,Uruguay,2851.0,53.0
235,UZB,Uzbekistan,65480.0,550.0
236,VUT,Vanuatu,0,0
237,VEN,Venezuela,89565.0,773.0
238,VNM,Vietnam,1168.0,35.0
239,VGB,"Virgin Islands, British",72.0,1.0
240,VIR,"Virgin Islands, U.S.",1348.0,21.0
241,WLF,Wallis and Futuna,1.0,0.0
242,ESH,Western Sahara,766.0,1.0
243,YEM,Yemen,2064.0,600.0
244,ZMB,Zambia,16117.0,348.0
245,ZWE,Zimbabwe,8276.0,237.0
